縣市,選區,姓名,在任狀態,政黨,政見,備註
新北,二,林 淑 芬,1,民主進步黨,在雞蛋與高牆之間，林淑芬選擇跟雞蛋同一邊。 站在人民這一邊的立委林淑芬： (1)為人民捍衛食品安全： 不畏財團壓力，勇敢揭發「頂新」黑心油弊案、日本輻射汙染管制區食品安 全的管制漏洞，以及政府放水藥廠，製作偽劣藥等。未來持續推動各種食品 安全管理制度的改革。 (2)為人民守護國土，山河海沒辦法投票，但這些事比選舉更重要： 淑芬要推國土三法的立法，已經完成「濕地法」及「海岸法」，未來將繼續 推動「國土計畫法」及「國土復育條例」立法，以守護台灣永續環境。 (3)為人民守住環境正義，不讓台灣成為「毒物島」： 淑芬完成修正「土污法」、「水污法」、「毒性化學物質管理法」，未來推 動「空污法」、「廢棄物減量及循環利用法」的改革，將乾淨的土地、水和 空氣還給人民。 (4)守護勞工、弱勢，責無旁貸： 因窮而被剝削的建教生，淑芬完成建教生權益保障法立法；米糠油事件受害 者暗夜的哭泣，淑芬完成「油症受害者救濟法」，讓政府盡到補償責任。23 年沒修的職災預防法「職業安全衛生管理法」，淑芬完成修法，讓勞工安全 有保障。關廠歇業工人失去的棺材本，淑芬努力完成「勞基法第28條」的修 正。淑芬將推動「職災保護法」與「職災保險法」，讓勞工的勞動身軀有國 家的保護。 (5)守護有尊嚴、可負擔、多元的在地老化權益： 淑芬完成推動「長照服務法」立法，未來監督政府提供可負擔、多元的居家 服務與日間照顧的長照制度，公部門需提供長照服務涵蓋率達6成，再推「長 照保險法」，以建構尊嚴老化的台灣。,
新北,三,高志鵬,0,民主進步黨,深耕三重：打造三重為綠色水岸城市 領航新北：推動建設新北市為青年新創及文創產業的全國亮點。 政治改革：連任後第一件事，追討國民黨不當黨產，落實轉型正義。 點亮台灣： １. 配合中央政策推動長照服務，建置平價社區式整體長照服務。 ２. 推動賦稅改革，建立公平稅制，縮短貧富差距。 ３. 推動年金改革，保障國人老年經濟安全。 ４. 推動國會改革，提昇國會專業性與代表性。 ５. 推動司法改革，建立友善人民的司法環境。 ６. 推動產業轉型，鬆綁落後法規，振興台灣經濟。 ７. 推動轉型正義，建立台灣民主與公平的社會。 ８. 爭取中央編列預算，新北市興建社會住宅五萬戶，落實居住正義。,2018/12/26 依108年01月04日台立人字第1071402131號函，因案於107年12月26日經最高法院判決褫奪公權確定，並自判決確定之日起，註銷名籍。
新北,三,余天,2,民主進步黨,一、落實司改：強力督促中央政府持續推動司法改革，檢視不適任法官、檢察官退場機制，重拾人民對司法的信心。 二、安全城市：整合中央與地方資源，健全社會安全網絡，提供弱勢、婦幼更完整的守護。 三、健檢交通：透過科技管理，全面健檢三重交通問題，打造安全、友善、便利的交通環境。 四、空間活化：盤點三重閒置空間，配合中央政府「長照2.0」及「托育公共化」政策，提供更充足的空間與資源，以達成「扶老攜 幼」的幸福三重。 五、居住正義：興建社會住宅、加速都市更新，不只要讓市民住得起，更要讓市民有安心的居住空間。 六、產業並進：建立三重產業基地，吸引新創產業及在地現有產業共同發展，攜手為三重推動下一個繁榮。 七、文化優質：爭取文化預算，補助藝文人士、團體到三重展演外，體檢三重藝文展演空間，推動文化優質新三重。,缺額補選
新北,四,吳 秉 叡,1,民主進步黨,臺灣現正面臨貧富差距擴大、食品安全風暴、財政惡化、民主倒退等嚴峻挑戰，為爭取安心安全、永續經營、公平正義的未來，吳秉叡將秉持專業立法、有效監督， 落實下列目標： 一、回歸人民的司法改革：建立人民參與審判的機制，檢討司法人員任用及淘汰機制，全面檢討違反「刑事人權保障」的制度與運作，推動國家轉型正義，並建立合 乎憲政本旨的違憲審查機制，落實司法為民、司法公正。 二、安全永續的社會制度：推動食品、住宅、照護的社會安全計畫，監督保障食品安全，推動公平合理的公共住宅，落實平價優質的社區長期照護，改革安全永續的 年金制度。 三、在地就業的創意經濟：結合在地文創與知識科研，促進產業結構升級，創造在地就業機會，並落實勞工權益保障。 四、合理效率的財稅制度：減少政府財政浪費，續推稅賦改革、促進稅制公平，照顧弱勢族群。 五、永續發展的綠色家園：監督落實非核家園，推動潔淨能源與環境保護，促進台灣綠色產業，實現永續發展的綠色家園。 六、永續深化的民主改革：推動憲政改革、修正「鳥籠式」公投法，並制定「政黨法」及「不當黨產處理條例」，落實還權於民，擴大人民監督，並建構權責相符的 政府。,
新北,五,蘇 巧 慧,1,民主進步黨,為孩子找未來的路 我是蘇巧慧，我是兩個孩子的媽媽，也是教育基金會的執行長，這些年對於 教育工作的投入，讓我憂心孩子的未來。我是律師，我知道國家的法規制度，影 響每個人的生活，也左右了孩子的未來。所有的媽媽都一樣，希望孩子在公平、 正義的社會裡成長。我看到教育的問題、社會的問題，我知道要改變台灣，必須 從法制、從政策、從政治改變，而這一切的改變源頭就在立法院。 2016的台灣，來到改革的關鍵路口，沒有猶豫的時間，新一屆的國會，新 一屆的立委，必須對國家未來有更深刻的思考，必須清楚知道台灣的問題在哪 裡，必須能夠提出最有力的改革，必須能夠採取積極的行動，才能翻轉停滯的現 狀，讓台灣大步前進。 五大行動，讓台灣大步走： 一、加速幼托公共化：孩子的第一哩路，國家要負責。 二、改革高等教育：青年的國際競爭力，國家要主導。 三、重整國家財政：這一代的債，不留給子孫。 四、重新國土規劃：讓台灣永續而美麗。 五、解決世代課題：落實更公平的新未來。 三大優先，翻轉地方新未來： 一、交通最優先：（一）捷運樹林萬大線、三鶯線動起來；（二）聯外道路及橋 樑如期完工；（三）樹林火車站原線地下化。 二、產業最優先：（一）要轉型升級，走出代工；（二）要產學合作，在地就 業；（三）要輔導合法，安心經營。 三、生活最優先：（一）加速幼托公共化；（二）落實社區長照體系；（三）增 闢綠帶遊憩空間。,
新北,六,張 宏 陸,1,民主進步黨,張宏陸　九大革新政策 １. 全民好健康—找回對食品安全的信心 積極推動食品衛生管理法修正案，加強食品業者管 理和保障消費者，確實照顧國人健康及消費權益。 ２. 上網好輕鬆—全面低價寬頻上網 要求中央要成立「專案小組」推動寬頻建設，推動 普及服務的無線寬頻頻率等多元政策方案，保障人 民數位權利。 ３. 板橋好停車—闢建地下停車場，終結違停惡夢 爭取全面利用校園操場、公園綠地來闢建地下停車 場，提供周遭鄰里社區住戶停車租金優惠。 ４. 寵物好好命—訂定完整的「動物保護綱領」 補助犬貓絕育及TNVR的執行，推廣工作犬、陪伴 犬計劃，改善收容所環境，嚴格取締違法繁殖場。 ５. 捷運好安全—要讓婦女幼兒搭乘捷運最安心 推動《捷運法》等相關修法，讓捷運系統增加見警 率，提升駐站警員，加強警察護車及巡邏密度，降 低事故發生。 ６. 板橋好好廳—轉動大台北新劇院 推動大台北新劇院儘速完成，讓板橋擁有國際級藝 術展演空間，提升新北市民的藝文生活品質。 ７. 非核好家園—積極發展綠能產業 發展綠能科技產業，強化國內再生能源產業與全球 研發及市場連結，從體質內強化台灣的永續發展。 ８. 學習好EASY—減輕學生的壓力 推動各校的特色及發展均質化與優質化，進而全面 免試入學，使國中教學正常化，還給國中生健康快 樂的學習生活。 ９. 托育好窩心—生、育、養，全面照護 全面推動0-2歲托育補助加碼政策，創造普及、平 價、優質托育服務，逐步打造中小企業附設公共保 母的環境。,
新北,七,羅 致 政,1,民主進步黨,「改變」是這些年最響亮的政治廣告口號，但要改變什麼呢？四年前當我決 定繼續在板橋基層深耕後，就深刻體認：我不再是一個可以隱遁在寧靜校園裡的 大學老師，我必須和大家一起呼吸，勇敢面對人世間的不義和苦難。這些年來， 我選擇以無給職的新北市黨部主委做為舞台，全力為民眾和公職人員搭好溝通的 橋樑。我深切體認，大家想改變的不是只換個政黨執政而已，而是有權力的人可 以用心讓小市民生活過得更好。 這是我的從政初衷。沒有派系，也不是政治世家，選擇從校園踏進政治圈， 答案始終只有一個，就是為了實踐理想。羅致政承諾將以「正直理性問政、人民 福祉優先」的理念，來落實國會改革與為民服務的目標： 一、國會改革 １. 以國家和人民的利益為先，政黨和個人的利益為後。 ２. 國會運作公開透明，讓立法院不再有密室政治、黑箱運作的空間，提高立法 院問政效率。 ３. 修法降低公投法和修憲門檻，實現18歲投票權訴求，保障直接民權，補足代 議制度的缺陷。 二、為民服務 １. 推動十年長照2.0計畫，落實「長照、托育、女性就業」三合一照顧政策， 減輕婦女照顧重擔。 ２. 推動「食安五環」計畫，從食品源頭就全面監控，對黑心廠商課以更重的法 律責任。 ３. 配合「五大創新研發計畫」，調整高等教育階段的課程與科系，解決大學畢 業生學用落差問題。 ４. 提供只租不售的高品質青年社會住宅，並針對特殊居住要求以及弱勢者提供 補助。 ５. 確保國內文化多樣性，積極保存、維護和活化有形及非物質的文化資產。,
新北,八,江 永 昌,1,民主進步黨,國會改革、拒絕黑箱 １ 要求法案協商審議全程透明。 ２ 降低公投法提案門檻，修改選罷法罷免條件。 看顧民生、打拼經濟 １ 帶動產業創新，創造就業機會，促使薪資成長。 ２ 輔導弱勢產業升級，開拓優勢產業跨國經貿市場。 ３ 擴大公共投資，推動智慧城市，開發多元能源並逐步淘汰核電廠。 擘劃中和、建設升級 １ 解決捷運環狀線工程延宕問題，管控萬大線施工進度，增加區域大眾運輸接 駁系統。 ２ 活化國有地，增闢公園綠地，廣設車位解決停車需求。 ３ 加速執行國管院舊址之都市計畫。優先開闢萬大線中和機場路廊聯絡道路， 打破內外員山藩籬。 ４ 鬆綁灰磘地區都市計畫管制，保障在地居民權益，打造新經濟產業專區。 ５ 要求交通部提出改善南勢區交通壅塞的具體方案。 ６ 爭取設置僑民文物館，連結華新街商圈，運用新住民多元文化特色成為優勢 利基。 守護孩子、學習成長 １ 優化社區托育系統與課後照顧。 ２ 改進十二年國教，適性教學，公平升學。 ３ 營養午餐採用認證食材。全面設置電子圍牆協防校安。落實校園拒毒教育。 力挺青年、贏取未來 １ 活用公部門外貿網絡，輔助大專學生運用經貿資訊，進軍國際市場。 ２ 鼓勵文化及科技新創事業，鬆綁募資平台，暢通青年白手起家的管道。 ３ 以產學合作銜接職場，畢業即就業。 銀髮樂活、退休無憂 １ 結合衛福資源，建置社區化銀髮醫療與長照系統。 ２ 推動年金改革，監督政府各項退休基金財務。 廣興公宅、加速都更 １ 廣建只租不售之公共住宅，推動房屋租賃專法。 ２ 加速老屋改建，推動公辦都更，保障住戶權益。 食品安心、控管全程 １ 源頭管理產銷流程，大幅提昇稽查人力。 ２ 設立毒物專責機構。提高檢舉獎金，加重罰鍰並專款專用。,
新北,九,林 德 福,1,中 國 國 民 黨,與朱立倫共同推動活絡經濟方案，讓台灣成為自由經濟島：吸引全球投資、參與全球競爭。設立自由經濟示範區：鬆綁法規、改革制度、產業創新。對內經濟更開 放、更有效、有區域特色。對外加入TPP、RCEP、推動兩岸協議，加速推動與全球洽簽經濟合作協議，擴大國際經貿空間。 推動加薪四法：公司法、工廠法、勞動基準法和中小企業發展條例修正案，讓經濟成果由全民共享。 廢除證所稅，讓股市回歸正常機制及基本面。 推動長照服務法、長照保險法，面對高齡及超高齡社會的快速來臨，現階段重點在提升服務的量與質，達到人力充足、選擇多元，以銜接長照保險開辦，督促政府完 備長照制度，營造在地安老的友善環境。 打造雙和十項建設 一． 積極爭取原國防部帳務中心1400坪基地，興建社會福利中心及青年住宅。 二． 積極爭取規劃捷運環狀線延伸至公館經中永和成功路。 三． 協助推動大雙和水岸再造計畫，將雙和區100公頃高灘地重新整頓、進行綠 化、拓寬自行車道、增設河岸親水公園。 四． 積極爭取中和秀山地區設立秀山消防分隊，確保該地區市民生命財產安全。 五． 積極爭取設置從永和綠寶石公園連接萬華馬場町公園之跨河景觀橋。 六． 成功爭取興建永和運動休閒中心及地下停車場，預定105年7月完工。 七． 成功爭取首座側環快於中正橋至福和橋防洪牆上興建景觀休閒步道。 八． 成功爭取永和首座電梯式人行陸橋，設置於環河西路與保安路口。 九． 成功爭取網溪國小改建及興建地下停車場，解決週邊停車問題。 十． 成功爭取捷運萬大線於103年10月中和站動工，同年11月植物園站動工，永 平國小站於104年11月決標，預定105年1月動工。,
新北,十,吳 琪 銘,1,民主進步黨,民進黨倡導非核家園，力推替代能源，而且，台灣前途應由台灣人民決定，未 來，我會堅持此立場！ 過去，政府無法回應人民需要，未來，民進黨，將會秉持改革進步的軌跡，帶領 不同世代的人才，重拾人民的幸福與肯定。因為，人民感受到幸福，才是肯定政 府的開始，因此，改造政府、改革國會，都必須踏出關鍵的一步，為地方扛起世 代正義實踐的責任；現在，我們正在邁向進步的道路，讓全民懷抱希望，要讓人 民一定幸福。 因此，我提出幸福168政策：讓市民1定要幸福　6項安心政策　8項建設計畫 六項安心：食安、治安、校安、公安、居安、安養，讓您安心。 １. 食安：食品產銷履歷多重把關 ２. 居安：國有地興建社會住宅 ３. 校安：讓孩子們有個安全求學環境 ４. 治安：建構綿密防護網，守護市民 ５. 安養：推動社區型安養中心，照顧免煩惱 ６. 公安：工作、娛樂，放心出門平安回家 八項建設：建設顧品質　繁榮好生活 １. 力推土城彈藥庫轉型：建立生態園區　人民休閒好所在 ２. 遷移金城變電所：讓可怕的電力怪獸　變成孩子們的快樂天堂 ３. 遷移土城看守所：黑暗旅社搬遷　讓光明公園再現 ４. 新建清水交流道：讓爸媽可以早點回家吃晚飯 ５. 新闢三峽環河路及新闢銜接台65與66線快速道路到三峽 ６. 擴建三鶯大橋：人車分道有保障　增加車道不再塞 ７. 打通鳶山隧道：紓解車流道，解決三峽塞車問題，促進地方繁榮 ８. 捷運三鶯線（到三峽）及萬大線如期完工,
新北,十一,羅 明 才,1,中 國 國 民 黨,報告鄉親： 「新店」好山、好水、好家園。大文山區更是您我共同生活的好所在。明才的阿公是新店老人會前會長羅慶堂先生，親族在新店定居已經六十年；明才永遠心存感 激，秉持「在地心，打拚為鄉親。在地情，地方建設不能停」努力打造您我的好家園：讓交通安全、快速、便捷。讓老人生活福利更健全並將爭取興建老人會館。讓 教育資源更充沛，讓婦女、孩童生活快樂，對未來充滿希望。 「不只想法，更有做法。」明才向您報告，新北環河快速道路、祥和路、安坑一號道路第一期（安一路）、大碧潭再造、中安大橋、陽光運動公園、深坑兒童遊戲 場暨停車場、烏來立體停車場、新店高中地下停車場、新店區汙水下水道工程第一期皆已陸續完成，明才已為地方爭取超過１２００億以上地方建設經費。在國會之 中，大力推動廢除證所稅，以期穩定股市，期盼股市上萬點，活絡台灣經濟。 未來將提議彈性調降證交稅；持續監督長期照護法後續推動情形，關心老人福利。督促政府爭取加入ＴＰＰ、ＲＣＥＰ，讓台灣與世界接軌；並支持兩岸和平穩定 發展。持續把關全民食安。地方建設上，將推動捷運沿線國有土地廣設青年宅；捷運延伸至深坑石碇；並繼續監督捷運環狀線、安坑輕軌捷運、新店行政園區（含新 店運動中心）、安坑一號道路第二期、新店區汙水下水道工程第二期，關心烏來災後重建與觀光產業的復甦、打造坪林成為低碳環保與推廣文山包種好茶的旅遊環 境。選擇有經驗的立委，地方建設才有保障，拜託您，感謝您的支持，謝謝。,
